product_url,product_price,product_specs,product_desc,product_tag,product_pmode,product_name
http://www.flipkart.com/micromax-rockstar-c192/p/itmdxcyp2r4xgsaw?pid=MOBDXCYNAGBSZXJD&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_219,"Rs. 1,212",,,(Black),,Micromax Rockstar C192
http://www.flipkart.com/intex-aqua-power/p/itme2ryq74wqffde?pid=MOBE2RYQND3WT2MH&primarySection=SELLER_TABLE&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&sellersSortedBy=PRICE&srno=b_220,"Rs. 8,799",,,(Black),,Intex Aqua Power
http://www.flipkart.com/intex-aqua-power/p/itme2ryq74wqffde?pid=MOBE2RYQND3WT2MH&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_220,"Rs. 8,799",,,(Black),,Intex Aqua Power
http://www.flipkart.com/spice-fire-one-mi-fx1/p/itme5kwhhhjwhuya?pid=MOBE2TX2GWGCV9ZC&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_218,"Rs. 1,999",,,"(Orange, With 4 GB Memory Card and Silicone Case)",,Spice Fire One Mi-FX1
http://www.flipkart.com/htc-desire-210-dual-sim-d210h/p/itme5hwhyrjegztg?pid=MOBDVZ6TDYZCKRDC&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_216,"Rs. 7,300",,,(Black),,HTC Desire 210 Dual Sim D210h
http://www.flipkart.com/samsung-galaxy-star-advance/p/itmeyfc4vwzwhuva?pid=MOBEYFC44EUDZ9TX&primarySection=SELLER_TABLE&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&sellersSortedBy=PRICE&srno=b_215,"Rs. 5,998",,,(White),,Samsung Galaxy Star Advance
http://www.flipkart.com/sony-xperia-c3/p/itme5kwnxjsc7sqg?pid=MOBDZB9GSJGDFYJT&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_217,"Rs. 20,990",,,(Starry Black),,Sony Xperia C3
http://www.flipkart.com/sony-xperia-c3/p/itme5kwnxjsc7sqg?pid=MOBDZB9GSJGDFYJT&primarySection=SELLER_TABLE&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&sellersSortedBy=PRICE&srno=b_217,"Rs. 20,990",,,(Starry Black),,Sony Xperia C3
http://www.flipkart.com/micromax-gc666/p/itmdyhz2hg9ckftu?pid=MOBDYHNYAXFRXFN3&primarySection=SELLER_TABLE&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&sellersSortedBy=PRICE&srno=b_213,"Rs. 2,335",,,(Black & Grey),,Micromax GC666
http://www.flipkart.com/samsung-galaxy-star-advance/p/itmeyfc4vwzwhuva?pid=MOBEYFC44EUDZ9TX&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_215,"Rs. 5,998",,,(White),,Samsung Galaxy Star Advance
http://www.flipkart.com/samsung-gt-1200-r-i-m/p/itmdzmt5ggjhsyft?pid=MOBDZMSVFTR6JD3K&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_214,"Rs. 1,050",,,,,Samsung GT 1200 R/I/M
http://www.flipkart.com/micromax-gc666/p/itmdyhz2hg9ckftu?pid=MOBDYHNYAXFRXFN3&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_213,"Rs. 2,335",,,(Black & Grey),,Micromax GC666
http://www.flipkart.com/gionee-m2/p/itme3h5eyh8psqzf?pid=MOBDUK4KBUN5QGED&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_212,"Rs. 9,320",,,(Black),,Gionee M2
http://www.flipkart.com/gionee-m2/p/itme3h5eyh8psqzf?pid=MOBDUK4KBUN5QGED&primarySection=SELLER_TABLE&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&sellersSortedBy=PRICE&srno=b_212,"Rs. 9,320",,,(Black),,Gionee M2
http://www.flipkart.com/nokia-x/p/itme5hwpebpctqqg?pid=MOBDU4ZKTTJ7JUWT&primarySection=SELLER_TABLE&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&sellersSortedBy=PRICE&srno=b_211,"Rs. 5,199",,,(Black),,Nokia X
http://www.flipkart.com/gionee-long-l800/p/itme5hwx7pwfbwbe?pid=MOBDQG8FRGTCMTU5&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_210,"Rs. 2,159",,,(Black Champange),,Gionee Long L800
http://www.flipkart.com/nokia-x/p/itme5hwpebpctqqg?pid=MOBDU4ZKTTJ7JUWT&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_211,"Rs. 5,199",,,(Black),,Nokia X
http://www.flipkart.com/gionee-long-l800/p/itme5hwx7pwfbwbe?pid=MOBDQG8FRGTCMTU5&primarySection=SELLER_TABLE&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&sellersSortedBy=PRICE&srno=b_210,"Rs. 2,159",,,(Black Champange),,Gionee Long L800
http://www.flipkart.com/karbonn-titanium-s99/p/itme5hvgetsd65rn?pid=MOBDXZ9WPVHZFHSM&ref=24ec86fb-87b1-4d91-88c3-5f4374341080&srno=b_354,"Rs. 3,780",,,(White),,Karbonn Titanium S99
http://www.flipkart.com/karbonn-a5-turbo/p/itme5hwhssgctfzw?pid=MOBDYX2FYNDKKPUR&ref=24ec86fb-87b1-4d91-88c3-5f4374341080&srno=b_351,"Rs. 2,689",,,(Black and Silver),,Karbonn A5 Turbo
http://www.flipkart.com/micromax-bolt-a069/p/itme5mwhhmtt7czv?pid=MOBDYHNYZDGPDFHT&ref=24ec86fb-87b1-4d91-88c3-5f4374341080&srno=b_355,"Rs. 5,262",,,(White),,Micromax Bolt A069
